TIMESTAMP,POWER
20131101 1:00,0.36624727291202663
20131101 2:00,0.3726345845285455
20131101 3:00,0.3734421295677688
20131101 4:00,0.3668653733048147
20131101 5:00,0.3828647778490317
20131101 6:00,0.3860903553859869
20131101 7:00,0.3426564137354631
20131101 8:00,0.1931774750886199
20131101 9:00,0.10633012530379146
20131101 10:00,0.03226419775990233
20131101 11:00,0.044044870348790705
20131101 12:00,0.03139713292645366
20131101 13:00,0.03146640239783571
20131101 14:00,0.0332416025158441
20131101 15:00,0.031038119323432672
20131101 16:00,0.030982412941188225
20131101 17:00,0.034345777360096974
20131101 18:00,0.05082952246087194
20131101 19:00,0.03195462756486525
20131101 20:00,0.03237607478082369
20131101 21:00,0.04201423824543857
20131101 22:00,0.037854060185222776
20131101 23:00,0.08143662415523673
20131102 0:00,0.15723289812567778
20131102 1:00,0.45100281343973925
20131102 2:00,0.5093247406795214
20131102 3:00,0.5821058130103817
20131102 4:00,0.6585178178697468
20131102 5:00,0.6870896536897881
20131102 6:00,0.641708290919534
20131102 7:00,0.577627548970014
20131102 8:00,0.548191281770633
20131102 9:00,0.5513878691377905
20131102 10:00,0.4943513101445357
20131102 11:00,0.43494776586854356
20131102 12:00,0.33984124427724693
20131102 13:00,0.500276832714982
20131102 14:00,0.6106057828080806
20131102 15:00,0.3257097257784449
20131102 16:00,0.3871421560283923
20131102 17:00,0.512766624914335
20131102 18:00,0.5718058122118141
20131102 19:00,0.5045877211464189
20131102 20:00,0.415889294686861
20131102 21:00,0.46545454147122767
20131102 22:00,0.5552568067982868
20131102 23:00,0.5462581461033762
20131103 0:00,0.5348199463585217
20131103 1:00,0.4696210481260048
20131103 2:00,0.48131097112839916
20131103 3:00,0.6291952760472712
20131103 4:00,0.6620655413260716
20131103 5:00,0.6405958118361256
20131103 6:00,0.6394888346021296
20131103 7:00,0.6364521940975947
20131103 8:00,0.6322273871651101
20131103 9:00,0.563535295137062
20131103 10:00,0.4854942500996433
20131103 11:00,0.40776810475040104
20131103 12:00,0.5698936347432226
20131103 13:00,0.5862811622368018
20131103 14:00,0.6280674853009273
20131103 15:00,0.6820711831873625
20131103 16:00,0.7211168824688622
20131103 17:00,0.746871077216231
20131103 18:00,0.7661897251027209
20131103 19:00,0.7783105960393699
20131103 20:00,0.7917282120615428
20131103 21:00,0.8167977655517416
20131103 22:00,0.8372312948060912
20131103 23:00,0.818731329804653
20131104 0:00,0.7484983849020601
20131104 1:00,0.7043809913649735
20131104 2:00,0.6188146204698708
20131104 3:00,0.5417903094935642
20131104 4:00,0.45425920309980694
20131104 5:00,0.40889253937710035
20131104 6:00,0.39881276810639266
20131104 7:00,0.40102162611805836
20131104 8:00,0.41838797817222306
20131104 9:00,0.292692988989835
20131104 10:00,0.34639563126817474
20131104 11:00,0.4263701184921944
20131104 12:00,0.4778388835532902
20131104 13:00,0.5148272304119166
20131104 14:00,0.547257636301919
20131104 15:00,0.5714487166246895
20131104 16:00,0.6121347990882505
20131104 17:00,0.6471085958104198
20131104 18:00,0.6364294116465536
20131104 19:00,0.6080895085018503
20131104 20:00,0.5885292633964562
20131104 21:00,0.6640182385301807
20131104 22:00,0.7248913071527534
20131104 23:00,0.7414206535842074
20131105 0:00,0.6543685444011611
20131105 1:00,0.45684286030832044
20131105 2:00,0.33664559395469507
20131105 3:00,0.23284653454331858
20131105 4:00,0.16090679772825942
20131105 5:00,0.10553733676659652
20131105 6:00,0.06236850310001732
20131105 7:00,0.049574814342505075
20131105 8:00,0.11645511964444141
20131105 9:00,0.22346488379435944
20131105 10:00,0.3321855888705795
